id,path,speakerId,transcription,action,object,location,llm_response
,,,Stop broadcasting audio in the bedroom,deactivate,music,bedroom,Music in the bedroom has stopped.
,,,Stop the audio track in the kitchen,deactivate,music,kitchen,Music in the kitchen has stopped.
,,,I'd prefer no music right now,deactivate,music,none,Music has been turned off.
,,,Let's silence the bedroom output,deactivate,music,bedroom,Music in the bedroom has been muted.
,,,Stop playing the music,deactivate,music,none,Music has been turned off.
,,,The washroom doesn't need music anymore,deactivate,music,washroom,Music in the washroom has been turned off.
,,,Let's mute the background sounds,deactivate,music,none,The music has been muted.
,,,Turn off whatever is playing in the kitchen,deactivate,music,kitchen,The kitchen music has been stopped.
,,,Stop the melody in the washroom,deactivate,music,washroom,Music in the washroom has been stopped.
,,,Silence the tune in the bedroom,deactivate,music,bedroom,Music in the bedroom has been silenced.
,,,Pause the audio in the washroom,deactivate,music,washroom,Music in the washroom has been paused.
,,,Power down the bedroom speaker,deactivate,music,bedroom,The bedroom music has been turned off.
,,,Volume up,increase,volume,none,Volume has been increased.
,,,Turn the volume up,increase,volume,none,The volume has been increased.
,,,Turn up the temperature,increase,heat,none,The temperature has been increased.
,,,Turn the heat up,increase,heat,none,The heat has been increased.
,,,Turn it up,increase,volume,none,The volume has been increased.
,,,Volume max,increase,volume,none,The volume has been increased to the maximum.
,,,Louder please,increase,volume,none,The volume has been increased.
,,,Increase the volume,increase,volume,none,The volume has been increased.
,,,Increase the sound volume,increase,volume,none,The sound volume has been increased.
,,,I need volume,increase,volume,none,The sound volume has been increased.
,,,Louder phone,increase,volume,none,The volume has been increased.
,,,"I need to hear this, increase the volume",increase,volume,none,The volume has been increased.
,,,"I couldn't hear anything, turn up the volume",increase,volume,none,The volume has been increased. Let me know if there's anything else you need!
,,,"This video sound is too low, turn up the volume",increase,volume,none,The volume has been increased successfully.
,,,Increase the temperature,increase,heat,none,The temperature has been increased successfully.
,,,Increase the heating,increase,heat,none,Heating has been increased.
,,,Could you increase the heating please?,increase,heat,none,The heating has been increased.
,,,Make it hotter,increase,heat,none,The heat has been increased.
,,,More heat,increase,heat,none,The heat has been increased.
,,,Heat up,increase,heat,none,The heat has been increased.
,,,Turn the kitchen temperature up,increase,heat,kitchen,The kitchen temperature has been increased.
,,,Increase the temperature in the kitchen,increase,heat,kitchen,The temperature in the kitchen has been increased.
,,,Increase the heating in the kitchen,increase,heat,kitchen,The heating in the kitchen has been increased.
,,,Turn up the heat in the kitchen,increase,heat,kitchen,The heat in the kitchen has been turned up.
,,,Turn up the temperature in the bedroom,increase,heat,bedroom,The temperature in the bedroom has been increased.
,,,Turn the temperature in the bedroom up,increase,heat,bedroom,The temperature in the bedroom has been increased.
,,,Turn up the bedroom heat,increase,heat,bedroom,The bedroom heat has been turned up.
,,,Bedroom heat up,increase,heat,bedroom,The heat in the bedroom has been increased.
,,,Increase the temperature in the bedroom,increase,heat,bedroom,The temperature in the bedroom has been increased.
,,,Increase the heating in the bedroom,increase,heat,bedroom,Heating in the bedroom has been increased.
,,,Turn up the washroom temperature,increase,heat,washroom,The washroom temperature has been turned up.
,,,Washroom heat up,increase,heat,washroom,The heat in the washroom has been increased.
,,,Increase the temperature in the washroom,increase,heat,washroom,The temperature in the washroom has been increased.
,,,Turn up the bathroom temperature,increase,heat,washroom,The bathroom temperature has been increased.
,,,Turn the temperature up in the bathroom,increase,heat,washroom,The temperature in the bathroom has been increased.
,,,Turn up the heat in the bathroom,increase,heat,washroom,The heat in the bathroom has been turned up.
,,,Turn the heat up in the bathroom,increase,heat,washroom,The heat in the bathroom has been increased.
,,,Bathroom heat up,increase,heat,washroom,The heat in the bathroom has been increased.
,,,Increase the temperature in the bathroom,increase,heat,washroom,The temperature in the bathroom has been increased.
,,,Increase the heating in the bathroom,increase,heat,washroom,The heating in the bathroom has been increased successfully.
,,,Turn sound up,increase,volume,none,The volume has been increased.
,,,Make it louder,increase,volume,none,The volume has been increased.
,,,Louder,increase,volume,none,The volume has been increased.
,,,Too quiet,increase,volume,none,The volume has been increased.
,,,Could you increase the heating?,increase,heat,none,Heating has been increased.
,,,Turn up the temperature in the kitchen,increase,heat,kitchen,The temperature in the kitchen has been turned up.
,,,Turn the heat up in the kitchen,increase,heat,kitchen,The heat in the kitchen has been turned up.
,,,Kitchen heat up,increase,heat,kitchen,The heat in the kitchen has been increased.
,,,Turn the heat up in the washroom,increase,heat,washroom,The heat in the washroom has been increased.
,,,Increase the heating in the washroom,increase,heat,washroom,The heating in the washroom has been increased.
,,,Turn up the volume,increase,volume,none,The volume has been turned up.
,,,Make the music louder,increase,volume,none,The music volume has been increased.
,,,Turn the temperature up,increase,heat,none,The temperature has been increased.
,,,Turn up the heat,increase,heat,none,The heat has been turned up.
,,,Turn volume up,increase,volume,none,The volume has been increased.
,,,Increase the sound,increase,volume,none,The volume has been increased.
,,,I can't hear that,increase,volume,none,I have increased the volume. Let me know if there's anything else you need!
,,,That's too quiet,increase,volume,none,The volume has been increased.
,,,Far too quiet,increase,volume,none,The volume has been increased.
,,,Turn the sound up,increase,volume,none,The volume has been increased.
,,,Turn the bedroom heat up,increase,heat,bedroom,The heat in the bedroom has been increased.
,,,Turn the temperature up in the washroom,increase,heat,washroom,The temperature in the washroom has been increased.
,,,Turn up the heat in the washroom,increase,heat,washroom,The heat in the washroom has been increased.
,,,Increase the volume please,increase,volume,none,The volume has been increased.
,,,Can you raise the heat in the kitchen?,increase,heat,kitchen,The kitchen heat has been increased.
,,,Turn up the bedroom volume now,increase,volume,bedroom,The volume in the bedroom has been turned up.
,,,Please make it warmer in the washroom,increase,heat,washroom,The washroom heat has been turned up.
,,,Let's boost the volume,increase,volume,none,The volume has been boosted.
,,,Raise the heat a bit,increase,heat,none,The heat has been increased slightly.
,,,Turn the kitchen heat up a notch,increase,heat,kitchen,The kitchen is now warmer.
,,,Make the bedroom warmer please,increase,heat,bedroom,The bedroom temperature has been increased.
,,,Could you crank up the music volume?,increase,volume,none,The volume has been turned up.
,,,Let's raise the washroom heat,increase,heat,washroom,The washroom is now warmer.
,,,Volume up in the kitchen please,increase,volume,kitchen,The kitchen volume has been increased.
,,,Increase the heat in the bedroom now,increase,heat,bedroom,The bedroom heat has been increased.
,,,Please turn up the washroom volume,increase,volume,washroom,The volume in the washroom has been turned up.
,,,Turn the volume higher,increase,volume,none,The volume has been raised.
,,,Let's get the kitchen warmer,increase,heat,kitchen,The heat in the kitchen has been turned up.
,,,Raise the bedroom audio volume,increase,volume,bedroom,The bedroom volume is now louder.
,,,Make it louder in the kitchen,increase,volume,kitchen,The kitchen volume has been increased.
,,,Warm up the place please,increase,heat,none,The temperature has been raised.
,,,Can you make it hotter in the washroom?,increase,heat,washroom,The washroom temperature has been increased.
,,,Boost the bedroom volume now,increase,volume,bedroom,The bedroom volume has been boosted.
,,,Crank the heat in the kitchen,increase,heat,kitchen,The kitchen heat has been cranked up.
,,,"Volume too low, turn it up",increase,volume,none,The volume has been increased.
,,,Can you raise the temperature here?,increase,heat,none,The heat has been raised.
,,,Increase the washroom temperature,increase,heat,washroom,The washroom is now warmer.
,,,Put the kitchen volume up,increase,volume,kitchen,The volume in the kitchen has been turned up.
,,,Let's bump up the bedroom temperature,increase,heat,bedroom,The bedroom is now warmer.
,,,Please raise the sound,increase,volume,none,The volume has been raised.
,,,Turn up the thermostat in the washroom,increase,heat,washroom,The washroom heat has been turned up.
,,,Make the bedroom louder please,increase,volume,bedroom,The bedroom volume has been increased.
,,,Warm up the kitchen,increase,heat,kitchen,The kitchen is now warmer.
,,,Louder volume in the washroom please,increase,volume,washroom,The washroom volume has been raised.
,,,Turn up the heat now,increase,heat,none,The heat has been increased.
,,,Crank up the bedroom heater,increase,heat,bedroom,The bedroom is now warmer.
,,,Give me more volume please,increase,volume,none,The volume has been increased.
,,,Make the washroom warmer please,increase,heat,washroom,The washroom temperature has been increased.
,,,Turn the bedroom volume louder,increase,volume,bedroom,The bedroom volume has been turned up.
,,,Boost the heat everywhere,increase,heat,none,The temperature has been increased.
,,,Let's turn up the kitchen audio,increase,volume,kitchen,The kitchen volume has been turned up.
,,,Increase sound in the bedroom,increase,volume,bedroom,The bedroom volume is louder now.
,,,Warm it up in here please,increase,heat,none,The temperature has been raised.
,,,I need more heat in the bedroom,increase,heat,bedroom,The bedroom is now warmer.
,,,Increase the speaker volume,increase,volume,none,The speaker volume has been raised.
,,,Pump up the heat in the kitchen,increase,heat,kitchen,The kitchen heat has been increased.
,,,I'd like it louder now?increase it,increase,volume,none,The volume has been turned up.
,,,Raise the heat level in the bedroom,increase,heat,bedroom,The bedroom heat is now higher.
,,,More sound in the kitchen please,increase,volume,kitchen,The kitchen is now louder.
,,,Increase the washroom speaker volume,increase,volume,washroom,The washroom volume has been increased.
,,,Make it hotter in the kitchen now,increase,heat,kitchen,The kitchen heat has been turned up.
,,,Raise the volume in all rooms,increase,volume,none,The overall volume has been increased.
,,,Could we get some more heat in here?,increase,heat,none,The temperature has been increased.
,,,Louder volume in the bedroom please,increase,volume,bedroom,The bedroom volume has been turned up.
,,,Let's increase the washroom audio,increase,volume,washroom,The washroom volume has been raised.
,,,Raise the thermostat please,increase,heat,none,The temperature has been raised.
,,,Volume up the kitchen audio system,increase,volume,kitchen,The kitchen is now louder.
,,,Turn up the sound in the washroom,increase,volume,washroom,The washroom volume is now higher.
,,,Turn the volume up a bit,increase,volume,none,The volume has been increased.
,,,Please increase the kitchen volume,increase,volume,kitchen,The kitchen volume has been increased.
,,,Can you turn up the bedroom sound?,increase,volume,bedroom,The bedroom volume is now louder.
,,,Raise the volume in the washroom,increase,volume,washroom,The washroom volume has been increased.
,,,Make it warmer in here please,increase,heat,none,The temperature has been raised.
,,,Heat up the kitchen now,increase,heat,kitchen,The kitchen is now warmer.
,,,Warm up the bedroom a bit more,increase,heat,bedroom,The bedroom heat has been turned up.
,,,Raise the heat in the washroom please,increase,heat,washroom,The washroom temperature has been increased.
,,,Pump up the volume now,increase,volume,none,The volume has been increased.
,,,More volume in the kitchen please,increase,volume,kitchen,The kitchen volume is now higher.
,,,I'd like louder sound in the bedroom,increase,volume,bedroom,The bedroom volume has been raised.
,,,Make the washroom music louder,increase,volume,washroom,The washroom volume has been turned up.
,,,Could we get more heat here?,increase,heat,none,The heat has been increased.
,,,Turn up the heat in the kitchen now,increase,heat,kitchen,The kitchen heat has been turned up.
,,,Please increase the bedroom temperature,increase,heat,bedroom,The bedroom temperature has been increased.
,,,Can you raise the washroom temperature?,increase,heat,washroom,The washroom heat has been increased.
,,,"It's too quiet, turn it up",increase,volume,none,The volume has been raised.
,,,Crank up the kitchen volume,increase,volume,kitchen,The kitchen volume is now higher.
,,,Can you bump the bedroom audio?,increase,volume,bedroom,The bedroom volume has been turned up.
,,,More volume in the washroom please,increase,volume,washroom,The washroom volume is now louder.
,,,Raise the temperature across the house,increase,heat,none,The heat has been raised.
,,,Crank up the kitchen heating,increase,heat,kitchen,The kitchen is now warmer.
,,,Turn the bedroom heater up,increase,heat,bedroom,The bedroom heat has been increased.
,,,Let's make the washroom warmer,increase,heat,washroom,The washroom is now warmer.
,,,Boost the system volume,increase,volume,none,The volume has been boosted.
,,,Turn up the speaker in the kitchen,increase,volume,kitchen,The kitchen speaker volume has been increased.
,,,Can you raise the bedroom music volume?,increase,volume,bedroom,The bedroom volume is now louder.
,,,Please raise the washroom speaker level,increase,volume,washroom,The washroom volume has been raised.
,,,Turn up the temperature now,increase,heat,none,The temperature has been increased.
,,,Increase the stove heat in the kitchen,increase,heat,kitchen,The kitchen heat has been turned up.
,,,Let's heat the bedroom a bit more,increase,heat,bedroom,The bedroom is now warmer.
,,,Give me more heat in the washroom,increase,heat,washroom,The washroom is warmer now.
,,,Can you increase the volume again?,increase,volume,none,The volume has been increased.
,,,Make the kitchen audio louder please,increase,volume,kitchen,The kitchen volume has been increased.
,,,Turn up the sound in the bedroom,increase,volume,bedroom,The bedroom sound is now higher.
,,,Pump up the washroom volume now,increase,volume,washroom,The washroom volume has been turned up.
,,,Please turn up the heat a little,increase,heat,none,The temperature has been raised slightly.
,,,Raise the kitchen thermostat,increase,heat,kitchen,The kitchen temperature has been raised.
,,,Can you turn up the bedroom heat again?,increase,heat,bedroom,The bedroom is warmer now.
,,,More heat in the washroom please,increase,heat,washroom,The washroom heat has been raised.
,,,Max the volume,increase,volume,none,The volume has been set to maximum.
,,,Let's increase the volume in the kitchen,increase,volume,kitchen,The kitchen volume has been increased.
,,,Boost bedroom sound level please,increase,volume,bedroom,The bedroom volume has been boosted.
,,,Could you enhance the washroom audio?,increase,volume,washroom,The washroom volume has been increased.
,,,I need it warmer here,increase,heat,none,The temperature has been increased.
,,,Make the kitchen a bit hotter,increase,heat,kitchen,The kitchen is now warmer.
,,,Increase the heating in the bedroom please,increase,heat,bedroom,The bedroom heating has been turned up.
,,,Heat up the washroom quickly,increase,heat,washroom,The washroom heat has been increased.
,,,Turn the volume higher now,increase,volume,none,The volume has been raised.
,,,Sound in the kitchen needs a boost,increase,volume,kitchen,The kitchen volume has been turned up.
,,,Let's bring up the bedroom volume,increase,volume,bedroom,The bedroom volume has been increased.
,,,Please add volume in the washroom,increase,volume,washroom,The washroom volume has been raised.
,,,Turn the heat dial up in the kitchen,increase,heat,kitchen,The kitchen heat has been increased.
,,,Raise the heater level in the bedroom,increase,heat,bedroom,The bedroom heat has been turned up.
,,,Push up the washroom heating,increase,heat,washroom,The washroom is now warmer.
,,,"I can't hear, increase the volume",increase,volume,none,The volume has been increased.
,,,Volume in the kitchen is too low,increase,volume,kitchen,The kitchen volume has been increased.
,,,Turn the bedroom volume all the way up,increase,volume,bedroom,The bedroom volume is now at maximum.
,,,Please increase the washroom volume now,increase,volume,washroom,The washroom volume has been turned up.
,,,"It's cold here, turn up the heat",increase,heat,none,The temperature has been increased.
,,,Let's turn up the heat in the kitchen,increase,heat,kitchen,The kitchen is now warmer.
,,,Could you raise the temperature in the bedroom?,increase,heat,bedroom,The bedroom heat has been increased.
,,,Make the washroom heat stronger,increase,heat,washroom,The washroom heat is now higher.
,,,Let's bring the volume up in the bedroom,increase,volume,bedroom,The bedroom volume has been increased.
,,,Please make the washroom warmer than before,increase,heat,washroom,The washroom heat has been increased.
,,,Increase the volume in every room please,increase,volume,none,The overall volume has been increased.
,,,"The kitchen is too quiet, turn it up",increase,volume,kitchen,The kitchen volume has been raised.
,,,Crank the bedroom heating system,increase,heat,bedroom,The bedroom heat has been turned up.
,,,Turn up the speaker in the washroom,increase,volume,washroom,The washroom speaker volume has been increased.
,,,"It's too cold, raise the temperature now",increase,heat,none,The temperature has been increased.
,,,Can you make the kitchen audio louder?,increase,volume,kitchen,The kitchen volume has been turned up.
,,,Please turn the volume up for this room,increase,volume,none,The volume has been increased.
,,,Give more heat to the washroom please,increase,heat,washroom,The washroom is now warmer.
,,,Let's increase the bedroom temperature setting,increase,heat,bedroom,The bedroom heat has been adjusted upward.
,,,Turn up the living space audio,increase,volume,none,The main volume has been increased.
,,,Raise the temperature setting in the kitchen,increase,heat,kitchen,The kitchen is now warmer.
,,,Can you make the bedroom louder please?,increase,volume,bedroom,The bedroom volume has been increased.
,,,Warm up the entire room please,increase,heat,none,The temperature has been raised.
,,,I need to hear this clearly?increase volume,increase,volume,none,The volume has been increased.
,,,Crank the washroom volume a bit more,increase,volume,washroom,The washroom volume has been increased.
,,,Turn the heat up slightly in the bedroom,increase,heat,bedroom,The bedroom is now warmer.
,,,Make the kitchen warmer for me please,increase,heat,kitchen,The kitchen temperature has been increased.
,,,Turn the volume down,decrease,volume,none,The volume has been turned down.
,,,Turn down the temperature,decrease,heat,none,The temperature has been turned down.
,,,Turn the temperature down,decrease,heat,none,The temperature has been turned down.
,,,Turn down the heat,decrease,heat,none,The heat has been turned down.
,,,Turn the heat down,decrease,heat,none,The heat has been turned down.
,,,Turn sound down,decrease,volume,none,The volume has been turned down.
,,,Decrease audio volume,decrease,volume,none,The audio volume has been decreased.
,,,Reduce audio volume,decrease,volume,none,The audio volume has been reduced.
,,,Quieter,decrease,volume,none,The volume has been decreased.
,,,Volume mute,decrease,volume,none,The volume has been muted.
,,,Lower the volume,decrease,volume,none,The volume has been lowered.
,,,Decrease sound levels,decrease,volume,none,The sound levels have been decreased.
,,,Too loud,decrease,volume,none,The volume has been decreased.
,,,That's too loud,decrease,volume,none,The volume has been decreased.
,,,Far too loud,decrease,volume,none,The volume has been decreased.
,,,"It's too loud, turn it down",decrease,volume,none,The volume has been turned down.
,,,"It's too loud, turn the volume down",decrease,volume,none,The volume has been turned down.
,,,Less heat,decrease,heat,none,The heat has been decreased.
,,,Heat down,decrease,heat,none,The heat has been decreased.
,,,Could you decrease the heating?,decrease,heat,none,Heating has been decreased successfully.
,,,Turn the kitchen temperature down,decrease,heat,kitchen,The kitchen temperature has been decreased.
,,,Turn the heat down in the kitchen,decrease,heat,kitchen,The heat in the kitchen has been turned down.
,,,Kitchen heat down,decrease,heat,kitchen,The kitchen heat has been decreased.
,,,Decrease the temperature in the kitchen,decrease,heat,kitchen,The temperature in the kitchen has been decreased.
,,,Turn down the bedroom heat,decrease,heat,bedroom,The bedroom heat has been turned down.
,,,Turn the bedroom heat down,decrease,heat,bedroom,The bedroom heat has been turned down.
,,,Bedroom heat down,decrease,heat,bedroom,The heat in the bedroom has been decreased.
,,,Decrease the temperature in the bedroom,decrease,heat,bedroom,The temperature in the bedroom has been decreased successfully.
,,,Decrease the heating in the bedroom,decrease,heat,bedroom,Heating in the bedroom has been decreased.
,,,Turn the temperature down in the washroom,decrease,heat,washroom,The temperature in the washroom has been turned down.
,,,Turn down the heat in the washroom,decrease,heat,washroom,The heat in the washroom has been turned down successfully.
,,,Decrease the heating in the washroom,decrease,heat,washroom,The heating in the washroom has been decreased.
,,,Turn down the bathroom temperature,decrease,heat,washroom,The bathroom temperature has been turned down.
,,,Turn down the heat in the bathroom,decrease,heat,washroom,The heat in the bathroom has been turned down.
,,,Turn the heat down in the bathroom,decrease,heat,washroom,The heat in the bathroom has been turned down.
,,,Decrease the temperature in the bathroom,decrease,heat,washroom,The temperature in the bathroom has been decreased.
,,,Decrease the heating in the bathroom,decrease,heat,washroom,The heating in the bathroom has been decreased.
,,,Bathroom heat down,decrease,heat,washroom,The heat in the bathroom has been decreased.
,,,Volume down,decrease,volume,none,The volume has been decreased.
,,,Make the music softer,decrease,volume,none,The music volume has been decreased.
,,,Turn it down,decrease,volume,none,The audio volume has been reduced.
,,,Volume lower,decrease,volume,none,The volume has been lowered.
,,,Make it cooler,decrease,heat,none,The temperature has been decreased to make it cooler.
,,,Decrease the temperature,decrease,heat,none,The temperature has been decreased.
,,,Decrease the heating,decrease,heat,none,The heating has been decreased.
,,,Turn down the heat in the kitchen,decrease,heat,kitchen,The heat in the kitchen has been turned down.
,,,Decrease the heating in the kitchen,decrease,heat,kitchen,The heating in the kitchen has been decreased.
,,,Turn down the temperature in the bedroom,decrease,heat,bedroom,The temperature in the bedroom has been turned down.
,,,Turn the temperature in the bedroom down,decrease,heat,bedroom,The temperature in the bedroom has been turned down.
,,,Turn the heat down in the washroom,decrease,heat,washroom,The heat in the washroom has been turned down.
,,,Washroom heat down,decrease,heat,washroom,The heat in the washroom has been decreased.
,,,Turn the temperature down in the bathroom,decrease,heat,washroom,The temperature has been decreased in the bathroom.
,,,Turn down the volume,decrease,volume,none,The volume has been turned down.
,,,Decrease volume,decrease,volume,none,The volume has been decreased.
,,,Turn volume down,decrease,volume,none,The volume has been turned down successfully.
,,,Decrease the volume,decrease,volume,none,The volume has been decreased.
,,,Make it quieter,decrease,volume,none,The volume has been decreased.
,,,Could you decrease the heating please?,decrease,heat,none,The heating has been decreased.
,,,Turn down the temperature in the kitchen,decrease,heat,kitchen,The temperature in the kitchen has been turned down.
,,,Turn down the washroom temperature,decrease,heat,washroom,The washroom temperature has been turned down.
,,,Decrease the temperature in the washroom,decrease,heat,washroom,The temperature in the washroom has been decreased.
,,,Please turn the volume down,decrease,volume,none,The volume has been turned down.
,,,Lower the kitchen volume a bit,decrease,volume,kitchen,The kitchen volume has been decreased.
,,,Turn the bedroom volume down now,decrease,volume,bedroom,The bedroom volume has been lowered.
,,,Can you make the washroom volume softer?,decrease,volume,washroom,The washroom volume has been turned down.
,,,"It's too hot here, lower the heat",decrease,heat,none,The temperature has been decreased.
,,,Please cool down the kitchen,decrease,heat,kitchen,The kitchen heat has been reduced.
,,,Turn the bedroom heater down a bit,decrease,heat,bedroom,The bedroom is now cooler.
,,,"The washroom is too warm, decrease it",decrease,heat,washroom,The washroom heat has been decreased.
,,,Drop the volume level please,decrease,volume,none,The volume has been decreased.
,,,Reduce the sound in the kitchen,decrease,volume,kitchen,The kitchen audio has been reduced.
,,,Make it quieter in the bedroom,decrease,volume,bedroom,The bedroom volume has been lowered.
,,,Reduce the speaker level in the washroom,decrease,volume,washroom,The washroom sound is now quieter.
,,,Lower the overall heat please,decrease,heat,none,The heat has been turned down.
,,,Reduce the bedroom temperature,decrease,heat,bedroom,The bedroom temperature has been lowered.
,,,Cool down the washroom for me,decrease,heat,washroom,The washroom heat has been decreased.
,,,Could you reduce the volume?,decrease,volume,none,The volume has been decreased.
,,,Turn the music down in the kitchen,decrease,volume,kitchen,The kitchen volume is now lower.
,,,Make the bedroom quieter please,decrease,volume,bedroom,The bedroom volume has been turned down.
,,,Soften the sound in the washroom,decrease,volume,washroom,The washroom sound has been softened.
,,,Cool it down a little please,decrease,heat,none,The temperature has been decreased slightly.
,,,Lower the kitchen thermostat,decrease,heat,kitchen,The kitchen heat has been reduced.
,,,I'd like less heat in the bedroom,decrease,heat,bedroom,The bedroom is now cooler.
,,,Reduce the temperature in the washroom,decrease,heat,washroom,The washroom temperature has been decreased.
,,,Please reduce the audio volume,decrease,volume,none,The volume has been turned down.
,,,Quiet the kitchen music,decrease,volume,kitchen,The kitchen music has been turned down.
,,,Drop the bedroom audio level,decrease,volume,bedroom,The bedroom audio has been lowered.
,,,Turn the washroom volume down,decrease,volume,washroom,The washroom volume has been decreased.
,,,Let's cool down the house,decrease,heat,none,The temperature has been lowered.
,,,Pull down the heat in the kitchen,decrease,heat,kitchen,The kitchen is now cooler.
,,,"Bedroom heat is too high, lower it",decrease,heat,bedroom,The bedroom heat has been reduced.
,,,Washroom heating needs to go down,decrease,heat,washroom,The washroom heat has been decreased.
,,,"Volume is too high, turn it down",decrease,volume,none,The volume has been lowered.
,,,Make the kitchen less noisy,decrease,volume,kitchen,The kitchen is now quieter.
,,,Reduce the bedroom speaker volume,decrease,volume,bedroom,The bedroom volume has been turned down.
,,,Quiet the washroom sound output,decrease,volume,washroom,The washroom is now quieter.
,,,Reduce overall heat levels please,decrease,heat,none,The heat has been decreased.
,,,Kitchen heat is a bit much,decrease,heat,kitchen,The kitchen temperature has been turned down.
,,,Turn the bedroom thermostat down,decrease,heat,bedroom,The bedroom temperature has been decreased.
,,,Cool off the washroom a bit,decrease,heat,washroom,The washroom is now cooler.
,,,Can you lower the volume please?,decrease,volume,none,The volume has been turned down.
,,,Turn down the volume in the kitchen,decrease,volume,kitchen,The kitchen volume has been reduced.
,,,Please reduce the bedroom volume,decrease,volume,bedroom,The bedroom sound has been turned down.
,,,Make the washroom sound quieter,decrease,volume,washroom,The washroom audio has been lowered.
,,,Lower the temperature a little,decrease,heat,none,The temperature has been decreased.
,,,Kitchen needs less heat,decrease,heat,kitchen,The kitchen is now less hot.
,,,"Bedroom is too hot, reduce it",decrease,heat,bedroom,The bedroom heat has been decreased.
,,,Cool down the washroom please,decrease,heat,washroom,The washroom temperature has been lowered.
,,,Soften the volume now,decrease,volume,none,The volume has been decreased.
,,,Lower the music volume in kitchen,decrease,volume,kitchen,The kitchen music is now softer.
,,,"Bedroom sound too loud, reduce it",decrease,volume,bedroom,The bedroom volume has been reduced.
,,,Quiet the washroom speaker please,decrease,volume,washroom,The washroom sound is now quieter.
,,,I'm feeling too warm here,decrease,heat,none,The heat has been decreased.
,,,The kitchen is overheating,decrease,heat,kitchen,The kitchen temperature has been reduced.
,,,Please cool down the bedroom,decrease,heat,bedroom,The bedroom is now cooler.
,,,Lower the heating in the washroom,decrease,heat,washroom,The washroom heat has been reduced.
,,,Could you turn the volume down a bit?,decrease,volume,none,The volume has been turned down.
,,,Reduce the audio in the kitchen,decrease,volume,kitchen,The kitchen audio is now softer.
,,,Bedroom volume down please,decrease,volume,bedroom,The bedroom volume has been lowered.
,,,The washroom is too loud,decrease,volume,washroom,The washroom volume has been decreased.
,,,Turn the heat setting down,decrease,heat,none,The temperature has been decreased.
,,,Bring down the kitchen heating,decrease,heat,kitchen,The kitchen heat has been reduced.
,,,Cut the heat in the bedroom please,decrease,heat,bedroom,The bedroom heat has been turned down.
,,,Reduce washroom heating level,decrease,heat,washroom,The washroom is now cooler.
,,,Please lower the sound volume,decrease,volume,none,The volume has been decreased.
,,,Quiet down the kitchen volume,decrease,volume,kitchen,The kitchen is quieter now.
,,,Lower the bedroom audio quickly,decrease,volume,bedroom,The bedroom sound has been turned down.
,,,Washroom needs to be quieter,decrease,volume,washroom,The washroom volume is now lower.
,,,Turn the heating off a bit,decrease,heat,none,The heat has been reduced.
,,,Make the kitchen slightly cooler,decrease,heat,kitchen,The kitchen is now cooler.
,,,Drop the bedroom heat setting,decrease,heat,bedroom,The bedroom heat has been reduced.
,,,Cool the washroom temperature,decrease,heat,washroom,The washroom temperature has been decreased.
,,,Lower the overall volume,decrease,volume,none,The volume has been reduced.
,,,Drop the kitchen audio volume,decrease,volume,kitchen,The kitchen volume has been decreased.
,,,Bedroom sound level is too high,decrease,volume,bedroom,The bedroom volume has been turned down.
,,,Tone down the washroom speaker,decrease,volume,washroom,The washroom speaker is now quieter.
,,,Turn the house temperature down,decrease,heat,none,The temperature has been decreased.
,,,Cool down the kitchen space,decrease,heat,kitchen,The kitchen heat has been reduced.
,,,Bring the bedroom temperature down,decrease,heat,bedroom,The bedroom is now cooler.
,,,Lower the heating in the washroom now,decrease,heat,washroom,The washroom heat has been decreased.
,,,Turn down the music a bit,decrease,volume,none,The volume has been slightly reduced.
,,,"Volume is loud in the kitchen, decrease it",decrease,volume,kitchen,The kitchen volume has been reduced.
,,,"Bedroom too noisy, turn it down",decrease,volume,bedroom,The bedroom volume has been decreased.
,,,Washroom sound is a bit much,decrease,volume,washroom,The washroom volume has been turned down.
,,,The air is too warm here,decrease,heat,none,The heat has been lowered.
,,,Kitchen needs less heat for now,decrease,heat,kitchen,The kitchen heat has been turned down.
,,,Bedroom temperature is too high,decrease,heat,bedroom,The bedroom is now cooler.
,,,Washroom heating is excessive,decrease,heat,washroom,The washroom heat has been reduced.
,,,Please turn the volume down immediately,decrease,volume,none,The volume has been turned down.
,,,Lower the music in the kitchen please,decrease,volume,kitchen,The kitchen music has been decreased.
,,,Adjust the bedroom volume downward,decrease,volume,bedroom,The bedroom sound has been turned down.
,,,Make the washroom sound more subtle,decrease,volume,washroom,The washroom volume has been softened.
,,,Cut down the heat,decrease,heat,none,The heat has been decreased.
,,,Turn down the kitchen stove heat,decrease,heat,kitchen,The kitchen is now cooler.
,,,Pull down the bedroom heater,decrease,heat,bedroom,The bedroom temperature has dropped.
,,,Washroom heat needs to be turned down,decrease,heat,washroom,The washroom is now cooler.
,,,Reduce the sound drastically,decrease,volume,none,The volume has been greatly reduced.
,,,Quiet the kitchen speaker a little,decrease,volume,kitchen,The kitchen speaker is now quieter.
,,,The bedroom audio should be lowered,decrease,volume,bedroom,The bedroom audio is now softer.
,,,Make the washroom less noisy,decrease,volume,washroom,The washroom audio has been lowered.
,,,Tone down the overall heat level,decrease,heat,none,The temperature has been reduced.
,,,Reduce the kitchen heat slightly,decrease,heat,kitchen,The kitchen heat is now lower.
